,MCP default,MCP VCG buyers,MCP VCG sellers,MCP Huang buyers,MCP Huang sellers,Average Utility,Average Profit,VCG Utility,VCG Profit,Huang Utility,Huang Profit,Average quantity,VCG quantity,Huang quantity
209,0.41606998557192487,0.41807917274906975,0.4259860530730322,0.4214908305638534,0.4106491405799964,3.6610340510684747,3.426751091693697,3.659203880869302,3.580729459589895,3.436932461596343,3.3487269306640384,14.393357704534068,14.393357704534068,13.546101627826035
210,0.5698573170315014,0.5571634338320143,0.5898537065675223,0.5883133942122205,0.5514012398507824,2.366396259314563,2.8950059988765275,2.5586668606727274,3.125940811197005,2.157781624596184,2.6682687928417645,11.303303116672952,11.303303116672952,11.047496115309798
211,0.5829744483996884,0.584025523313503,0.5878300236027239,0.584968973256894,0.5809799235424828,3.2075638450363706,3.8631098884491415,3.1983634988321517,3.9578940065433525,3.1792182862293568,3.8130329283509465,14.21168490561019,14.21168490561019,13.818233876109646
212,0.34656659322916056,0.33914173293035804,0.34040397313093806,0.35359039413026183,0.3395427923280593,3.3468591562014756,2.4368374873053464,3.4406069333096188,2.362019295352103,3.2608146998425678,2.2827252544786325,12.250412215616393,12.250412215616393,11.76910735928136
213,0.4927821722105503,0.48657737931329204,0.49322725330681344,0.4928476077076333,0.4927167367134674,3.1211632641609026,3.085145671917282,3.2441900622517736,3.0937541138207596,3.0652164432038584,3.084274478664546,13.313771447822722,13.313771447822722,13.006889799088114
214,0.47703477119329285,0.47071222821190795,0.49512420741394325,0.4833314437842769,0.47073809860230886,3.2932638245598014,3.1025300429537848,3.3697417893415413,3.4008682072399017,3.1314270137883384,3.0267048956502443,12.042097823557079,12.042097823557079,11.294025044339307
215,0.4715156698964255,0.4588877731409601,0.4740727329696339,0.4758518696256768,0.4671794701671742,2.969185492962366,3.368962702737843,3.155715207110347,3.410216055686348,2.9163782975564128,3.1502877993384355,12.178220262716454,12.178220262716454,11.387254176323514
216,0.33775611179720033,0.33305683992622215,0.3506592267369725,0.350521801127696,0.32499042246670473,3.901743991009039,1.665399090006436,4.009685082403975,1.8064436823814256,3.7633665403777057,1.3934766219153212,10.839794628306358,10.839794628306358,9.91354822824989
217,0.49821495841513735,0.49230617847666336,0.5029088174900419,0.502763329442168,0.49366658738810676,3.002766729067461,1.8086489232559881,3.0919844447661213,1.864155148082582,2.9508348718923947,1.700071419737068,11.417682697044444,11.417682697044444,10.760229193620711
218,0.47274435354497996,0.4666959857127821,0.475003796869178,0.47791758749178154,0.4675711195981784,3.3833063456897112,3.181144571350159,3.473188888076529,3.2355213534495366,3.2725604131238777,3.11391647918356,12.99537056663829,12.99537056663829,12.482228970282112
219,0.3950060016284295,0.39266998122173696,0.40572130753409336,0.4006483145848676,0.38936368867199145,3.6435900164985267,2.140902231956896,3.6892034286198188,2.27814404255125,3.4385714721719824,2.072543484580256,12.115376779772603,12.115376779772603,11.405832523285092
220,0.46468932164288435,0.46515517023716335,0.4710596035045959,0.46601647786944395,0.4633621654163248,2.9748492131663444,2.171142513468157,2.9707243186672416,2.2691612483798846,2.9248476836096167,2.1563556121719234,11.14179401061638,11.14179401061638,10.816379810563093
221,0.37542651474186217,0.3534799554977969,0.357556357067367,0.39731132806835706,0.35354170141536734,4.273763299435827,2.0914299536645644,4.53689731440392,1.8982034403364605,4.011732467842215,1.820059137881879,11.973181022128387,11.973181022128387,11.734698004873472
222,0.451461371470691,0.44800586365592115,0.45939015725550114,0.4570445739941736,0.44587816894720844,2.998004415748034,1.5706865453800893,3.0510064724099113,1.6626683102792157,2.8377965870946165,1.5092572023429223,11.002528168878072,11.002528168878072,10.49190765590735
223,0.48417235618695365,0.4712910410259889,0.48644174686290875,0.49281390525284385,0.4755308071210634,2.4159101325927996,2.755392173042397,2.57563598602328,2.8133165405627456,2.325329715506203,2.5430960043783526,10.481965258304772,10.481965258304772,9.724771911425691
224,0.5289352882206275,0.4908823269059734,0.5274147386931547,0.5541663453338307,0.5037042311074243,2.650883333592154,3.1621312187648214,3.0898574021455127,3.225035544871002,2.3893936327227414,2.8389796737125574,10.363802820317735,10.363802820317735,10.038715311029225
225,0.40903349713569925,0.4168596970654493,0.4589751551794038,0.4169615859954512,0.4011054082759474,3.681157950139941,1.6689013078925137,3.5807260708698645,2.394891734789429,3.5396590479860093,1.568384661179212,12.678546935011031,12.678546935011031,12.513043789864085
226,0.5013216246347678,0.48887844032585137,0.49307109076666517,0.5121695368513468,0.49047371241818877,2.8239573112301217,2.9733388197902366,2.971632438245119,2.894160502348954,2.5832140604979967,2.855669583547722,10.847178138359222,10.847178138359222,10.1909970516684
227,0.513862232511018,0.5365839387903263,0.5380613259325624,0.538002218377661,0.48972224664437514,2.7969873073889135,3.2768124059913206,2.53854852110875,3.557316153579923,2.4859617821452535,2.997554485791032,11.568271901358994,11.568271901358994,10.663215091914173
228,0.5771753297444286,0.5433966442897636,0.5610544419009373,0.5985088063312188,0.5558418531576383,2.69476337056406,3.582360845265366,3.1419396162979316,3.4323004043280445,2.4513655763975177,3.145355798177872,11.409194988746215,11.409194988746215,10.64622580354593
229,0.45982010581114297,0.46810525651224244,0.4731513637130432,0.4731170784346004,0.4465231331876856,2.840905545364233,1.996903196022955,2.7858928726557717,2.1409230648991624,2.697457928143047,1.8264469491918376,10.787990716633205,10.787990716633205,10.273318480413185
230,0.46503521760528077,0.4618316572436189,0.4672568425870257,0.4679370972584255,0.46213333795213607,4.445541494416445,3.043226095163294,4.49312859570816,3.0814313921055683,4.248293389938567,3.0030554617155194,13.842970160475899,13.842970160475899,13.194962295847121
231,0.4877793678352902,0.48136234620449314,0.48587053892260257,0.4941552867420195,0.48140344892856085,3.6495731456998435,3.448434084858535,3.737273406961064,3.423771554516761,3.416460849886343,3.361786179160663,13.589869470645407,13.589869470645407,12.764684293794955
232,0.5026525290048854,0.49566030186029303,0.501407177656063,0.5084621550424493,0.49684290296732153,3.010396561967727,3.1887794306689585,3.105428204071159,3.192856750454078,2.9391390320337956,3.0388497283051685,12.265424568327598,12.265424568327598,11.57695874783136
233,0.4258942833959207,0.4392443656034545,0.4438620060334691,0.4417359789869405,0.41005258780490095,3.7488692847179554,2.6531930764422174,3.600727733646322,2.871843135943133,3.5658209746028393,2.4696092142857973,11.55484329713295,11.55484329713295,11.25301732414391
