Electricity.Timestep;Time;Sum [kWh]
0;2000/5/1 上午 12:00;0.000854315638311517
1;2000/5/1 上午 12:01;0.000888190339037946
2;2000/5/1 上午 12:02;0.000836955532028345
3;2000/5/1 上午 12:03;0.000831815637779984
4;2000/5/1 上午 12:04;0.000884316429539659
5;2000/5/1 上午 12:05;0.000874782907997311
6;2000/5/1 上午 12:06;0.000874274888735953
7;2000/5/1 上午 12:07;0.000856727691493862
8;2000/5/1 上午 12:08;0.000903310719510756
9;2000/5/1 上午 12:09;0.00086547068565782
10;2000/5/1 上午 12:10;0.000839502383647446
11;2000/5/1 上午 12:11;0.000851454608710383
12;2000/5/1 上午 12:12;0.000860327592021774
13;2000/5/1 上午 12:13;0.00085903857740244
14;2000/5/1 上午 12:14;0.000857318465630536
15;2000/5/1 上午 12:15;0.000846447900427931
16;2000/5/1 上午 12:16;0.000832708476756612
17;2000/5/1 上午 12:17;0.000867301709968062
18;2000/5/1 上午 12:18;0.000885626199945733
19;2000/5/1 上午 12:19;0.000843201395754904
20;2000/5/1 上午 12:20;0.000855363934133172
21;2000/5/1 上午 12:21;0.000891525580566567
22;2000/5/1 上午 12:22;0.00083790912960145
23;2000/5/1 上午 12:23;0.000855119997878745
24;2000/5/1 上午 12:24;0.000885549677836398
25;2000/5/1 上午 12:25;0.000867879966236081
26;2000/5/1 上午 12:26;0.000835462640888146
27;2000/5/1 上午 12:27;0.000900650424921034
28;2000/5/1 上午 12:28;0.00129652904419836
29;2000/5/1 上午 12:29;0.00217446851865707
30;2000/5/1 上午 12:30;0.002164998538909
31;2000/5/1 上午 12:31;0.00211197897129016
32;2000/5/1 上午 12:32;0.00212510790321922
33;2000/5/1 上午 12:33;0.00214114435294542
34;2000/5/1 上午 12:34;0.00213393669709382
35;2000/5/1 上午 12:35;0.00216362746814531
36;2000/5/1 上午 12:36;0.00215293039315761
37;2000/5/1 上午 12:37;0.00135101121151532
38;2000/5/1 上午 12:38;0.00083923991702171
39;2000/5/1 上午 12:39;0.000856314828475733
40;2000/5/1 上午 12:40;0.000831308444525889
41;2000/5/1 上午 12:41;0.000837395288554355
42;2000/5/1 上午 12:42;0.000880665927230089
43;2000/5/1 上午 12:43;0.000853974389409945
44;2000/5/1 上午 12:44;0.000795947273809132
45;2000/5/1 上午 12:45;0.000878073342447994
46;2000/5/1 上午 12:46;0.000892242389367298
47;2000/5/1 上午 12:47;0.000883392187829228
48;2000/5/1 上午 12:48;0.000858303624454505
49;2000/5/1 上午 12:49;0.000868858845671762
50;2000/5/1 上午 12:50;0.000863770327419234
51;2000/5/1 上午 12:51;0.000900403134634349
52;2000/5/1 上午 12:52;0.000928329012445957
53;2000/5/1 上午 12:53;0.000858426475355999
54;2000/5/1 上午 12:54;0.00087049195448106
55;2000/5/1 上午 12:55;0.000906657860171709
56;2000/5/1 上午 12:56;0.000858765204178283
57;2000/5/1 上午 12:57;0.000851558257625835
58;2000/5/1 上午 12:58;0.000842594459678212
59;2000/5/1 上午 12:59;0.000888488967686862
60;2000/5/1 上午 01:00;0.000925551003727891
