Electricity.Timestep;Time;Sum [kWh]
0;2000/5/1 上午 12:00;0.000852675842866057
1;2000/5/1 上午 12:01;0.000744211345050657
2;2000/5/1 上午 12:02;0.000765371617593248
3;2000/5/1 上午 12:03;0.000760695720312447
4;2000/5/1 上午 12:04;0.000799806632406239
5;2000/5/1 上午 12:05;0.000800782481335378
6;2000/5/1 上午 12:06;0.00076002139883874
7;2000/5/1 上午 12:07;0.000778867489311124
8;2000/5/1 上午 12:08;0.000785846232637071
9;2000/5/1 上午 12:09;0.000740582259821029
10;2000/5/1 上午 12:10;0.000730772655440022
11;2000/5/1 上午 12:11;0.000804944598157851
12;2000/5/1 上午 12:12;0.00071250653591045
13;2000/5/1 上午 12:13;0.000766051281823242
14;2000/5/1 上午 12:14;0.000766255770533335
15;2000/5/1 上午 12:15;0.000768928569942375
16;2000/5/1 上午 12:16;0.000755343090000114
17;2000/5/1 上午 12:17;0.000746100220598126
18;2000/5/1 上午 12:18;0.000757396486003048
19;2000/5/1 上午 12:19;0.000765647079859901
20;2000/5/1 上午 12:20;0.000715815736453179
21;2000/5/1 上午 12:21;0.00079550522756976
22;2000/5/1 上午 12:22;0.000768401845869436
23;2000/5/1 上午 12:23;0.000778234441279674
24;2000/5/1 上午 12:24;0.000723193434902403
25;2000/5/1 上午 12:25;0.000774267853644594
26;2000/5/1 上午 12:26;0.000838480088728529
27;2000/5/1 上午 12:27;0.000814588958999875
28;2000/5/1 上午 12:28;0.000774293421150998
29;2000/5/1 上午 12:29;0.000769263477729532
30;2000/5/1 上午 12:30;0.000760981435300262
31;2000/5/1 上午 12:31;0.000780614107901757
32;2000/5/1 上午 12:32;0.000779470564139242
33;2000/5/1 上午 12:33;0.000835851671626706
34;2000/5/1 上午 12:34;0.000810122234797826
35;2000/5/1 上午 12:35;0.000755199399715119
36;2000/5/1 上午 12:36;0.000837017203411881
37;2000/5/1 上午 12:37;0.000769434752934336
38;2000/5/1 上午 12:38;0.000814011174458851
39;2000/5/1 上午 12:39;0.000705184800222722
40;2000/5/1 上午 12:40;0.000775024233595793
41;2000/5/1 上午 12:41;0.000759713468593901
42;2000/5/1 上午 12:42;0.000793500215441185
43;2000/5/1 上午 12:43;0.00077654741313096
44;2000/5/1 上午 12:44;0.000717386052465129
45;2000/5/1 上午 12:45;0.000798063085441594
46;2000/5/1 上午 12:46;0.000780652612303606
47;2000/5/1 上午 12:47;0.000729267290521353
48;2000/5/1 上午 12:48;0.000769710016583299
49;2000/5/1 上午 12:49;0.000753649531299449
50;2000/5/1 上午 12:50;0.00079258212784054
51;2000/5/1 上午 12:51;0.000750882864663497
52;2000/5/1 上午 12:52;0.000763688771599034
53;2000/5/1 上午 12:53;0.000764618642490556
54;2000/5/1 上午 12:54;0.00075326170468218
55;2000/5/1 上午 12:55;0.000789110984609078
56;2000/5/1 上午 12:56;0.000769913259283248
57;2000/5/1 上午 12:57;0.000768964632019713
58;2000/5/1 上午 12:58;0.000820049897607825
59;2000/5/1 上午 12:59;0.000818987864974526
60;2000/5/1 上午 01:00;0.000785964275750021
61;2000/5/1 上午 01:01;0.00075763398983439
62;2000/5/1 上午 01:02;0.000762622697260665
63;2000/5/1 上午 01:03;0.000786527548493928
64;2000/5/1 上午 01:04;0.000805792777244805
65;2000/5/1 上午 01:05;0.000789850907848477
66;2000/5/1 上午 01:06;0.000764554161083462
67;2000/5/1 上午 01:07;0.000784372508727029
68;2000/5/1 上午 01:08;0.000732611694464264
69;2000/5/1 上午 01:09;0.000770972939475343
70;2000/5/1 上午 01:10;0.000721066574742472
71;2000/5/1 上午 01:11;0.000723794200360968
72;2000/5/1 上午 01:12;0.000779637413982407
73;2000/5/1 上午 01:13;0.000805689744717216
74;2000/5/1 上午 01:14;0.000755438714056316
75;2000/5/1 上午 01:15;0.000714028438293866
76;2000/5/1 上午 01:16;0.000751651454389078
77;2000/5/1 上午 01:17;0.000745309844245384
78;2000/5/1 上午 01:18;0.000817533101913983
79;2000/5/1 上午 01:19;0.000760217221723502
80;2000/5/1 上午 01:20;0.000774350910882541
81;2000/5/1 上午 01:21;0.000737141116474964
82;2000/5/1 上午 01:22;0.000778010675225223
83;2000/5/1 上午 01:23;0.000754352193571597
84;2000/5/1 上午 01:24;0.000752848708418299
85;2000/5/1 上午 01:25;0.000804906537294924
86;2000/5/1 上午 01:26;0.000726034850865082
87;2000/5/1 上午 01:27;0.000816953590370304
88;2000/5/1 上午 01:28;0.000770408782202242
89;2000/5/1 上午 01:29;0.000753799060972515
90;2000/5/1 上午 01:30;0.000801424319363245
91;2000/5/1 上午 01:31;0.000812435543076707
92;2000/5/1 上午 01:32;0.000779431770269393
93;2000/5/1 上午 01:33;0.000793821344389382
94;2000/5/1 上午 01:34;0.000799376895012201
95;2000/5/1 上午 01:35;0.000812478195765628
96;2000/5/1 上午 01:36;0.000764820568134073
97;2000/5/1 上午 01:37;0.000781129913560298
98;2000/5/1 上午 01:38;0.000770070891234694
99;2000/5/1 上午 01:39;0.000772354345128634
100;2000/5/1 上午 01:40;0.000810961749363807
101;2000/5/1 上午 01:41;0.000749534920808609
102;2000/5/1 上午 01:42;0.000745159778072926
103;2000/5/1 上午 01:43;0.000777138188976373
104;2000/5/1 上午 01:44;0.000754941681323684
105;2000/5/1 上午 01:45;0.000831697095973158
106;2000/5/1 上午 01:46;0.0007671702060881
107;2000/5/1 上午 01:47;0.000747000929168287
108;2000/5/1 上午 01:48;0.00076108358192781
109;2000/5/1 上午 01:49;0.000788191262199783
110;2000/5/1 上午 01:50;0.000766394803255442
111;2000/5/1 上午 01:51;0.000753017586438349
112;2000/5/1 上午 01:52;0.000732243004398424
113;2000/5/1 上午 01:53;0.000763525218039632
114;2000/5/1 上午 01:54;0.00080576666089789
115;2000/5/1 上午 01:55;0.000788425109368468
116;2000/5/1 上午 01:56;0.000803456874816629
117;2000/5/1 上午 01:57;0.000808244922703147
118;2000/5/1 上午 01:58;0.000763269826979076
119;2000/5/1 上午 01:59;0.000743939199717361
120;2000/5/1 上午 02:00;0.000773078646658295
121;2000/5/1 上午 02:01;0.000775969032563084
122;2000/5/1 上午 02:02;0.000780702558444198
123;2000/5/1 上午 02:03;0.000726129998565121
124;2000/5/1 上午 02:04;0.000802055550085154
125;2000/5/1 上午 02:05;0.000776542320301744
126;2000/5/1 上午 02:06;0.000793007611239231
127;2000/5/1 上午 02:07;0.000829714491235793
128;2000/5/1 上午 02:08;0.00075855486846563
129;2000/5/1 上午 02:09;0.000812392601997824
130;2000/5/1 上午 02:10;0.000762231320134374
131;2000/5/1 上午 02:11;0.000773672838728478
132;2000/5/1 上午 02:12;0.000793202822292142
133;2000/5/1 上午 02:13;0.000782447236867875
134;2000/5/1 上午 02:14;0.000726738431292891
135;2000/5/1 上午 02:15;0.000822028114824243
136;2000/5/1 上午 02:16;0.00073142543002203
137;2000/5/1 上午 02:17;0.000734369719684087
138;2000/5/1 上午 02:18;0.000780499567780231
139;2000/5/1 上午 02:19;0.000759463777555796
140;2000/5/1 上午 02:20;0.00078997688860781
141;2000/5/1 上午 02:21;0.000820281920774042
142;2000/5/1 上午 02:22;0.000762699552801631
143;2000/5/1 上午 02:23;0.000838001328767564
144;2000/5/1 上午 02:24;0.000710989082187541
145;2000/5/1 上午 02:25;0.000774944645507521
146;2000/5/1 上午 02:26;0.000832502650581102
147;2000/5/1 上午 02:27;0.000799392140588399
148;2000/5/1 上午 02:28;0.000698359135405984
149;2000/5/1 上午 02:29;0.000822266505385036
150;2000/5/1 上午 02:30;0.00076438314232424
151;2000/5/1 上午 02:31;0.000761552068114967
152;2000/5/1 上午 02:32;0.000772523781623252
153;2000/5/1 上午 02:33;0.000768203307796928
154;2000/5/1 上午 02:34;0.000764622672005868
155;2000/5/1 上午 02:35;0.000743433111380745
156;2000/5/1 上午 02:36;0.000762595717510718
157;2000/5/1 上午 02:37;0.000816370734642057
158;2000/5/1 上午 02:38;0.000789386793753726
159;2000/5/1 上午 02:39;0.000747228773984018
160;2000/5/1 上午 02:40;0.000803198065278891
161;2000/5/1 上午 02:41;0.000739131221163778
162;2000/5/1 上午 02:42;0.000785331034102789
163;2000/5/1 上午 02:43;0.000754723704459874
164;2000/5/1 上午 02:44;0.000781487873523679
165;2000/5/1 上午 02:45;0.000797295634622375
166;2000/5/1 上午 02:46;0.000798188489697729
167;2000/5/1 上午 02:47;0.000766181168638913
168;2000/5/1 上午 02:48;0.000764185371438
169;2000/5/1 上午 02:49;0.000738690928146216
170;2000/5/1 上午 02:50;0.000763492014595639
171;2000/5/1 上午 02:51;0.000753915778266043
172;2000/5/1 上午 02:52;0.000764942010477752
173;2000/5/1 上午 02:53;0.000825157050073384
174;2000/5/1 上午 02:54;0.00077423871990363
175;2000/5/1 上午 02:55;0.000771356177801269
176;2000/5/1 上午 02:56;0.000804906369457973
177;2000/5/1 上午 02:57;0.000759752514060794
178;2000/5/1 上午 02:58;0.000749860281113289
179;2000/5/1 上午 02:59;0.000801080229940791
180;2000/5/1 上午 03:00;0.000843070918369499
181;2000/5/1 上午 03:01;0.000825352171258917
182;2000/5/1 上午 03:02;0.000804091500610513
183;2000/5/1 上午 03:03;0.000767826085460276
184;2000/5/1 上午 03:04;0.000770331585795346
185;2000/5/1 上午 03:05;0.000732128113762792
186;2000/5/1 上午 03:06;0.000805529894400496
187;2000/5/1 上午 03:07;0.000733913436473612
188;2000/5/1 上午 03:08;0.000752983557578353
189;2000/5/1 上午 03:09;0.000760575889757639
190;2000/5/1 上午 03:10;0.000771045162496026
191;2000/5/1 上午 03:11;0.000790056010456394
192;2000/5/1 上午 03:12;0.000749128375930355
193;2000/5/1 上午 03:13;0.00075489973809455
194;2000/5/1 上午 03:14;0.000797306430803687
195;2000/5/1 上午 03:15;0.000779251059071822
196;2000/5/1 上午 03:16;0.000791495220685482
197;2000/5/1 上午 03:17;0.000751262691583672
198;2000/5/1 上午 03:18;0.000752606399128388
199;2000/5/1 上午 03:19;0.000742495267464757
200;2000/5/1 上午 03:20;0.000716717010855557
201;2000/5/1 上午 03:21;0.000786757576779315
202;2000/5/1 上午 03:22;0.000738122273311051
203;2000/5/1 上午 03:23;0.000756703942538745
204;2000/5/1 上午 03:24;0.000803981185080991
205;2000/5/1 上午 03:25;0.000800959593151083
206;2000/5/1 上午 03:26;0.000821160349159934
207;2000/5/1 上午 03:27;0.000733195144714259
208;2000/5/1 上午 03:28;0.000789349799098049
209;2000/5/1 上午 03:29;0.000828945628840758
210;2000/5/1 上午 03:30;0.000773749218972088
211;2000/5/1 上午 03:31;0.00078606349354905
212;2000/5/1 上午 03:32;0.000767773263213557
213;2000/5/1 上午 03:33;0.00250147746357022
214;2000/5/1 上午 03:34;0.0028134608452162
215;2000/5/1 上午 03:35;0.00290419039898553
216;2000/5/1 上午 03:36;0.0027564040819286
217;2000/5/1 上午 03:37;0.00270930033679079
218;2000/5/1 上午 03:38;0.00293702615471391
219;2000/5/1 上午 03:39;0.00309388968358447
220;2000/5/1 上午 03:40;0.00258205502607027
221;2000/5/1 上午 03:41;0.00276667185314746
222;2000/5/1 上午 03:42;0.0032307636170405
223;2000/5/1 上午 03:43;0.00307235118771713
224;2000/5/1 上午 03:44;0.00302591192787051
225;2000/5/1 上午 03:45;0.00239408185611349
226;2000/5/1 上午 03:46;0.00325307217824485
227;2000/5/1 上午 03:47;0.00304332838516165
228;2000/5/1 上午 03:48;0.00295189319722864
229;2000/5/1 上午 03:49;0.00284258124193359
230;2000/5/1 上午 03:50;0.00286927325963493
231;2000/5/1 上午 03:51;0.00285566917394125
232;2000/5/1 上午 03:52;0.00296134264208521
233;2000/5/1 上午 03:53;0.00267818202937968
234;2000/5/1 上午 03:54;0.00299447782518755
235;2000/5/1 上午 03:55;0.00276875605913262
236;2000/5/1 上午 03:56;0.00269979252036808
237;2000/5/1 上午 03:57;0.00277989874638163
238;2000/5/1 上午 03:58;0.00265404879005552
239;2000/5/1 上午 03:59;0.00266933185402985
240;2000/5/1 上午 04:00;0.00256326018396058
241;2000/5/1 上午 04:01;0.00541403652876553
242;2000/5/1 上午 04:02;0.00521495162372911
243;2000/5/1 上午 04:03;0.00526215170936452
244;2000/5/1 上午 04:04;0.0052763065434536
245;2000/5/1 上午 04:05;0.00497059703161078
246;2000/5/1 上午 04:06;0.00514565353692045
247;2000/5/1 上午 04:07;0.00559978655945979
248;2000/5/1 上午 04:08;0.00506475304867353
249;2000/5/1 上午 04:09;0.00532785412013752
250;2000/5/1 上午 04:10;0.00514334480282911
251;2000/5/1 上午 04:11;0.00513194607497923
252;2000/5/1 上午 04:12;0.00572673543975833
253;2000/5/1 上午 04:13;0.00537012338008742
254;2000/5/1 上午 04:14;0.0052121446044672
255;2000/5/1 上午 04:15;0.0054865922652506
256;2000/5/1 上午 04:16;0.00525861853522752
257;2000/5/1 上午 04:17;0.00484939851311871
258;2000/5/1 上午 04:18;0.00515664760561224
259;2000/5/1 上午 04:19;0.0054544308781799
260;2000/5/1 上午 04:20;0.0051955211172715
261;2000/5/1 上午 04:21;0.0053326151686612
262;2000/5/1 上午 04:22;0.00539469029684313
263;2000/5/1 上午 04:23;0.00502084911703253
264;2000/5/1 上午 04:24;0.00486994558890117
265;2000/5/1 上午 04:25;0.00528251104850301
266;2000/5/1 上午 04:26;0.0053593033292141
